UserID,Age,Gender,SubscriptionType,WatchHoursPerWeek,DevicesUsed,FavoriteGenre,AdClicks,MonthlySpend,SubscriptionRenewed
1,58,Male,Basic,18,2,Comedy,4,387,Yes
2,61,Male,VIP,28,1,Action,2,811,Yes
3,50,Male,VIP,13,5,Sci-Fi,7,929,No
4,18,Male,VIP,28,3,Drama,4,810,No
5,24,Male,Premium,7,3,Drama,19,535,Yes
6,64,Female,VIP,8,4,Action,17,850,No
7,54,Male,VIP,5,1,Thriller,7,848,Yes
8,32,Male,Premium,18,4,Thriller,26,586,Yes
9,41,Female,Basic,18,1,Romance,20,242,Yes
10,28,Female,Premium,18,5,Comedy,21,566,Yes
11,32,Male,Premium,26,3,Action,6,690,No
12,31,Female,Premium,30,2,Drama,4,526,No
13,65,Female,VIP,26,3,Comedy,4,960,No
14,23,Male,Basic,10,2,Thriller,13,351,Yes
15,42,Female,VIP,30,5,Drama,17,705,Yes
16,61,Female,VIP,22,1,Drama,13,780,No
17,18,Female,VIP,12,5,Action,27,852,Yes
18,27,Female,Basic,35,5,Action,19,281,No
19,19,Male,Premium,20,2,Action,7,690,Yes
20,23,Female,Basic,35,2,Comedy,21,320,Yes
21,34,Female,Basic,35,2,Thriller,9,301,No
22,46,Female,Basic,16,2,Action,10,204,Yes
23,55,Male,Basic,5,1,Comedy,2,207,No
24,22,Male,Premium,32,2,Romance,4,692,No
25,33,Female,Premium,13,1,Action,21,620,No
26,45,Female,Premium,4,1,Action,12,573,Yes
27,33,Male,Basic,35,4,Comedy,13,245,No
28,47,Male,Basic,29,5,Action,1,365,Yes
29,23,Male,Basic,27,4,Sci-Fi,6,301,Yes
30,28,Female,Basic,25,3,Sci-Fi,9,307,No
31,27,Male,Premium,14,1,Romance,23,677,Yes
32,65,Female,Basic,4,5,Sci-Fi,16,334,Yes
33,21,Male,Basic,5,5,Action,21,259,No
34,25,Male,VIP,39,1,Romance,2,914,No
35,34,Male,VIP,21,2,Drama,12,767,No
36,47,Female,Basic,1,4,Romance,18,224,Yes
37,52,Male,VIP,17,2,Drama,28,735,Yes
38,41,Female,Basic,29,5,Thriller,9,355,Yes
39,60,Female,VIP,7,2,Drama,3,754,Yes
40,35,Female,VIP,14,3,Comedy,21,835,No
41,34,Male,Basic,28,3,Action,0,284,Yes
42,58,Female,Basic,29,5,Thriller,13,342,Yes
43,25,Male,VIP,10,5,Action,26,889,Yes
44,45,Male,Basic,20,3,Action,28,290,Yes
45,61,Male,VIP,7,3,Romance,28,908,Yes
46,33,Male,Basic,27,1,Comedy,23,284,No
47,60,Male,Premium,11,1,Sci-Fi,27,419,No
48,32,Male,Premium,23,3,Comedy,7,412,Yes
49,43,Female,Premium,5,3,Drama,20,660,No
50,61,Female,Basic,8,3,Comedy,18,266,Yes
51,24,Female,Premium,21,4,Romance,16,459,No
52,54,Male,Premium,3,4,Action,16,675,Yes
53,41,Female,Basic,22,5,Drama,21,230,No
54,50,Female,VIP,27,3,Sci-Fi,22,851,Yes
55,30,Female,VIP,25,2,Romance,18,854,No
56,53,Male,Premium,19,2,Sci-Fi,25,696,No
57,47,Female,Premium,14,5,Sci-Fi,25,486,Yes
58,36,Female,Basic,16,3,Comedy,25,249,Yes
59,19,Male,Basic,31,5,Action,14,305,Yes
60,63,Female,Premium,26,2,Comedy,20,402,Yes
61,45,Male,Basic,34,4,Action,17,262,Yes
62,47,Male,Premium,34,5,Romance,10,626,No
63,53,Female,Basic,31,4,Drama,24,262,No
64,51,Female,VIP,16,3,Sci-Fi,2,846,Yes
65,35,Female,Premium,35,1,Comedy,4,518,No
66,62,Male,VIP,14,1,Sci-Fi,13,869,No
67,44,Male,Basic,27,4,Romance,30,377,Yes
68,54,Female,Premium,1,3,Drama,24,599,No
69,52,Male,Premium,15,3,Sci-Fi,15,414,No
70,39,Female,VIP,11,4,Comedy,19,973,Yes
71,43,Male,Basic,28,2,Sci-Fi,5,211,No
72,42,Female,Basic,30,3,Drama,24,296,No
73,44,Female,Basic,31,1,Thriller,17,212,No
74,32,Male,VIP,3,1,Comedy,6,710,Yes
75,33,Male,Premium,8,5,Comedy,14,531,No
76,28,Male,Basic,20,1,Romance,0,278,No
77,43,Male,Basic,38,2,Action,22,396,No
78,61,Male,VIP,3,3,Romance,13,889,Yes
79,50,Female,Basic,27,4,Action,13,291,No
80,63,Male,Premium,12,5,Thriller,8,675,No
81,47,Female,VIP,38,3,Drama,27,825,Yes
82,35,Female,Basic,30,5,Romance,21,296,No
83,19,Female,Premium,12,4,Comedy,11,532,No
84,35,Female,VIP,1,5,Comedy,2,823,No
85,49,Male,VIP,31,4,Sci-Fi,25,708,Yes
86,36,Male,Premium,16,3,Thriller,18,588,No
87,53,Female,Premium,36,3,Drama,22,632,No
88,37,Female,Basic,8,2,Drama,3,389,Yes
89,30,Male,VIP,31,3,Thriller,18,968,No
90,24,Male,Premium,15,3,Comedy,9,407,Yes
91,35,Male,Basic,36,3,Thriller,30,231,No
92,24,Male,VIP,19,4,Sci-Fi,14,874,Yes
93,21,Female,Premium,8,1,Sci-Fi,15,437,Yes
94,27,Male,VIP,20,1,Comedy,3,985,No
95,56,Male,VIP,25,4,Sci-Fi,9,919,No
96,54,Male,VIP,7,2,Thriller,6,835,Yes
97,28,Male,Basic,36,1,Comedy,0,303,No
98,62,Female,Premium,3,2,Drama,22,544,No
99,22,Male,Premium,38,2,Sci-Fi,3,678,Yes
100,59,Male,Premium,10,1,Action,5,557,No
101,46,Male,Premium,20,4,Drama,16,676,No
102,46,Male,VIP,3,4,Thriller,10,828,Yes
103,23,Male,VIP,37,5,Action,24,837,Yes
104,29,Female,VIP,29,3,Comedy,18,923,No
105,23,Female,Premium,27,3,Drama,21,453,Yes
106,39,Female,VIP,32,3,Thriller,30,905,Yes
107,47,Male,Premium,17,3,Action,24,606,Yes
108,60,Female,Premium,4,2,Romance,11,655,No
109,21,Male,Premium,36,2,Drama,14,648,Yes
110,19,Male,VIP,11,3,Romance,0,982,No
111,23,Male,Basic,30,1,Thriller,26,238,No
112,63,Female,VIP,18,4,Sci-Fi,15,824,No
113,53,Male,Premium,13,5,Romance,23,469,Yes
114,35,Female,Premium,33,3,Action,9,552,No
115,27,Female,VIP,31,3,Drama,17,978,No
116,47,Female,Basic,16,5,Sci-Fi,7,397,No
117,20,Female,VIP,31,4,Sci-Fi,21,777,No
